Václav Jan Krtitel,Tomásek
Thomas,Tomkins
Giuseppe,Torelli
Tomás de,Torrejón y Velasco
Joan,Tower
Giovanni Maria,Trabaci
Tommaso Michele Francesco Saverio,Traetta
Franz,Tunder
Joaquin,Turina
Christopher,Tye
Viktor Josef,Ullmann
Vladimir Alexis,Ussachevsky
Fransesc,Valls
Johann Baptist,Vanhal
Edgard Victor Achille Charles,Varèse
Ralph,Vaughan Williams
Francesco Maria,Veracini
Barry Lloyd,Vercoe
Giuseppe Fortunino Francesco,Verdi
Lodovico,Viadana
Michelle Ferdinande Pauline,Viardot
Tomás Luis de,Victoria
Heitor ,Villa-Lobos
Leonardo,Vinci
Ivan Alyeksandrovich,Vishnegradsky
Giovanni Battista,Vitali
Tommaso Antonio,Vitali
Philippe de,Vitry
Antonio,Vivaldi
Claude,Vivier
Lucrezia Orsina,Vizzana
Georg Joseph,Vogler
Kevin,Volans
Jan Václav,Vorísek
Georg Christoph,Wagenseil
Wilhelm Richard,Wagner
Johann,Walter
Johann Jakob,Walther
William Turner,Walton
Robert Eugene,Ward
Carl Maria von,Weber
Anton Friedrich Wilhelm von,Webern
Matthias,Weckmann
Thomas,Weelkes
Kurt Julian,Weill
Hugo David,Weisgall
Silvius Leopold,Weiss
Richard,Wernick
Giaches de,Wert
Samuel,Wesley
Samuel Sebastian ,Wesley
Peter Talbot,Westergaard
Adrian,Willaert
John,Wilson
Olly,Wilson
Hugo Filipp Jakob,Wolf
Christian,Wolff
Stefan,Wolpe
Charles Peter,Wuorinen
Iannis,Xenakis
Nicholas,Yonge
LaMonte,Young
Isang,Yun
Friedrich Wilhelm,Zachow
Francis Vincent,Zappa
Gioseffo,Zarlino
Long,Zhou
Bernd Alois,Zimmermann
Evan ,Ziporyn
John,Zorn
Emilie,Zumsteeg
Johann Rudolf,Zumsteeg
Ellen Taaffe,Zwilich
